        # step       J       T       B             H             M           chi
           100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
           200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
           300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
           400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
           500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
           600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
           700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
           800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
           900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          1000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          1100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          1200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          1300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          1400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          1500     1.0     1.0     2.0   -142.000000      0.960000      0.078400
          1600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          1700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          1800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          1900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          2000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          2100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          2200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          2300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          2400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          2500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          2600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          2700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          2800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          2900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          3000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          3100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          3200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          3300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          3400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          3500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          3600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          3700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          3800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          3900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          4000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          4100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          4200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          4300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          4400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          4500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          4600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          4700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          4800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          4900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          5000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          5100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          5200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          5300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          5400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          5500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          5600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          5700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          5800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          5900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          6000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          6100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          6200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          6300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          6400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          6500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          6600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          6700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          6800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          6900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          7000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          7100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          7200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          7300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          7400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          7500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          7600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
          7700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
